subject,condition,freqBandPowerThetaFz,freqBandPowerAlphaMean,freqBandPowerAlphaPz,freqBandPowerAlphaP1,freqBandPowerAlphaP2,freqBandPowerAlphaP3,freqBandPowerAlphaP4
sub-043,highControl,4.993213,4.430573,4.839909,4.101697,4.688303,4.050921,4.472038
sub-042,lowMemory,1.221878,-3.283205,-4.317797,-3.801587,-3.879330,-1.729229,-2.688084
sub-042,highMemory,1.681143,-3.787380,-4.721861,-4.341714,-4.381798,-2.152769,-3.338760
sub-042,lowControl,0.862303,-2.480463,-3.604766,-3.068363,-3.197512,-0.708173,-1.823499
sub-042,highControl,1.081018,-2.193416,-3.453562,-2.961693,-2.855589,-0.352514,-1.343725
sub-041,lowMemory,0.243533,4.674185,5.175356,4.705182,4.500529,4.743760,4.246097
sub-041,highMemory,0.653239,4.320058,4.601849,4.343746,4.017547,4.702261,3.934886
sub-041,lowControl,0.385129,3.730222,4.020725,3.718488,3.308217,4.629675,2.974004
sub-041,highControl,0.349314,2.355547,2.713044,2.542327,1.838415,3.280111,1.403839
sub-040,lowMemory,6.280828,7.838333,8.580539,7.825091,7.784882,7.585839,7.415316
sub-040,highMemory,5.360070,7.933640,8.854580,8.191171,7.704017,7.984454,6.933976
sub-040,lowControl,5.516819,7.836783,8.155872,7.320305,7.820177,8.124622,7.762940
sub-040,highControl,6.392448,7.785880,8.705333,7.710485,7.778540,7.536822,7.198222
sub-039,lowMemory,-2.063761,-3.651990,-3.892946,-3.884578,-3.929602,-3.698024,-2.854802
sub-039,highMemory,0.334701,-5.069452,-5.469781,-5.377097,-4.639684,-6.647561,-3.213136
sub-039,lowControl,0.243035,-2.471028,-2.592431,-2.549073,-2.140598,-2.693055,-2.379984
sub-039,highControl,0.071995,-3.016866,-3.268349,-3.273096,-2.701284,-3.264627,-2.576974
sub-038,lowMemory,2.263252,0.440050,0.385100,0.092615,0.342604,0.074802,1.305127
sub-038,highMemory,2.439170,0.111236,0.403946,-0.254908,0.063535,-0.912162,1.255768
sub-038,lowControl,2.711776,2.508146,2.780915,2.333005,2.668448,1.494253,3.264109
sub-038,highControl,1.332377,1.280104,1.453174,0.739007,1.637768,-0.402161,2.972732
sub-036,lowMemory,4.483908,4.385927,4.306260,3.988137,4.316854,4.561359,4.757027
sub-036,highMemory,4.551957,4.327599,4.225932,3.837725,4.307116,4.473761,4.793463
sub-036,lowControl,2.722785,3.851224,3.839006,3.527235,3.733171,4.082675,4.074034
